test_date,Country,host_ip,num_packets,packet_size,base_losses_str,id_pcap_data,discrimination_losses_str,id_pcap_data
2016-04-22 16:00:13,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,2507,8972( 131.179.150.70 ),28,8987( 131.179.150.70 )
2016-04-22 17:00:10,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,2497,8988( 131.179.150.70 ),65,9003( 131.179.150.70 )
2016-04-22 18:00:12,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,2460,9004( 131.179.150.70 ),20,9019( 131.179.150.70 )
2016-04-22 19:00:12,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,2440,9020( 131.179.150.70 ),48,9035( 131.179.150.70 )
2016-04-22 20:00:10,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,2489,9036( 131.179.150.70 ),47,9051( 131.179.150.70 )
2016-04-22 21:00:11,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,2517,9052( 131.179.150.70 ),30,9067( 131.179.150.70 )
2016-04-22 22:00:10,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,2500,9068( 131.179.150.70 ),48,9083( 131.179.150.70 )
2016-04-22 23:00:11,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,2475,9084( 131.179.150.70 ),20,9099( 131.179.150.70 )
2016-04-20 17:15:09,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,20,7933( 131.179.150.72 ),0,7934( 131.179.150.72 )
2016-04-20 18:15:06,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,20,7993( 131.179.150.72 ),0,7994( 131.179.150.72 )
2016-04-20 19:15:08,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,48,8049( 131.179.150.72 ),6,8050( 131.179.150.72 )
2016-04-20 19:35:14,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,30,8069( 131.179.150.72 ),31,8070( 131.179.150.72 )
2016-04-20 19:36:37,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,35,8071( 131.179.150.72 ),0,8072( 131.179.150.72 )
2016-04-20 19:37:19,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,48,8073( 131.179.150.72 ),4303,8074( 131.179.150.72 )
2016-04-20 19:38:15,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,48,8075( 131.179.150.72 ),3503,8076( 131.179.150.72 )
2016-04-20 19:40:13,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,29,8077( 131.179.150.72 ),2480,8078( 131.179.150.72 )
2016-04-20 20:14:42,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,20,8105( 131.179.150.72 ),2432,8106( 131.179.150.72 )
2016-04-20 21:14:42,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,48,8161( 131.179.150.72 ),2491,8162( 131.179.150.72 )
2016-04-20 22:14:41,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,20,8217( 131.179.150.72 ),2416,8218( 131.179.150.72 )
2016-04-20 23:14:41,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,20,8273( 131.179.150.72 ),2439,8274( 131.179.150.72 )
2016-04-21 00:14:42,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,20,8329( 131.179.150.72 ),2421,8330( 131.179.150.72 )
2016-04-21 01:14:42,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,20,8385( 131.179.150.72 ),2495,8386( 131.179.150.72 )
2016-04-21 02:14:41,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,20,8441( 131.179.150.72 ),2467,8442( 131.179.150.72 )
