test_date,Country,host_ip,num_packets,packet_size,base_losses_str,id_pcap_data,discrimination_losses_str,id_pcap_data
2016-05-05 17:04:17,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,4556,16510( 131.179.150.72 ),22,16511( 131.179.150.72 )
2016-05-05 18:04:18,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,4566,16526( 131.179.150.72 ),22,16527( 131.179.150.72 )
2016-05-05 19:04:20,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,4100,16542( 131.179.150.72 ),22,16543( 131.179.150.72 )
2016-05-05 20:04:18,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,3464,16558( 131.179.150.72 ),22,16559( 131.179.150.72 )
2016-05-05 21:04:16,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,4590,16574( 131.179.150.72 ),22,16575( 131.179.150.72 )
2016-05-05 22:04:18,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,3454,16590( 131.179.150.72 ),22,16591( 131.179.150.72 )
2016-05-05 23:04:17,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,4640,16606( 131.179.150.72 ),38,16607( 131.179.150.72 )
2016-05-05 00:08:22,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,3672,16240( 192.16.125.12 ),108,16241( 192.16.125.12 )
2016-05-05 01:08:20,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,3608,16256( 192.16.125.12 ),80,16257( 192.16.125.12 )
2016-05-05 02:08:21,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,3698,16272( 192.16.125.12 ),52,16273( 192.16.125.12 )
2016-05-05 03:08:20,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,3706,16288( 192.16.125.12 ),102,16289( 192.16.125.12 )
2016-05-05 04:08:21,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,3700,16304( 192.16.125.12 ),30,16305( 192.16.125.12 )
2016-05-05 05:08:20,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,3684,16320( 192.16.125.12 ),40,16321( 192.16.125.12 )
2016-05-05 06:08:20,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,3708,16336( 192.16.125.12 ),26,16337( 192.16.125.12 )
2016-05-05 07:08:20,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,3646,16352( 192.16.125.12 ),38,16353( 192.16.125.12 )
2016-05-05 08:08:22,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,3674,16368( 192.16.125.12 ),32,16369( 192.16.125.12 )
2016-05-05 09:08:21,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,3578,16384( 192.16.125.12 ),36,16385( 192.16.125.12 )
2016-05-05 10:08:21,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,3654,16400( 192.16.125.12 ),22,16401( 192.16.125.12 )
2016-05-05 11:08:20,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,3684,16416( 192.16.125.12 ),32,16417( 192.16.125.12 )
2016-05-05 12:08:21,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,3640,16432( 192.16.125.12 ),34,16433( 192.16.125.12 )
2016-05-05 13:08:21,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,3666,16448( 192.16.125.12 ),22,16449( 192.16.125.12 )
2016-05-05 14:08:21,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,3678,16464( 192.16.125.12 ),36,16465( 192.16.125.12 )
2016-05-05 15:08:21,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,3648,16480( 192.16.125.12 ),22,16481( 192.16.125.12 )
2016-05-05 16:08:21,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,3606,16496( 192.16.125.12 ),34,16497( 192.16.125.12 )
2016-05-05 17:08:20,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,3638,16512( 192.16.125.12 ),42,16513( 192.16.125.12 )
2016-05-05 18:08:21,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,3752,16528( 192.16.125.12 ),72,16529( 192.16.125.12 )
2016-05-05 19:08:21,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,3002,16544( 192.16.125.12 ),22,16545( 192.16.125.12 )
2016-05-05 20:08:22,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,3764,16560( 192.16.125.12 ),74,16561( 192.16.125.12 )
2016-05-05 21:08:33,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,22,16576( 192.16.125.12 ),22,16577( 192.16.125.12 )
2016-05-05 22:08:21,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,3740,16592( 192.16.125.12 ),142,16593( 192.16.125.12 )
2016-05-05 23:08:20,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,3708,16608( 192.16.125.12 ),100,16609( 192.16.125.12 )
